Elapsed Time (s),m=15,m=16,m=17,m=18,m=20,m=22,m=28,m=32,m=40,m=44
00:16:30.14,3.11e-10,7.87e-13,5.5e-14,4.64e-14,1.03e-10,4.11e-13,1e-13,1.5e-13,4.62e-13,4.15e-14
00:16:37.64,3.11e-10,7.93e-13,6.61e-14,5.4e-14,1.03e-10,4.66e-13,7.79e-14,1.67e-13,4.63e-13,3.73e-14
00:16:45.14,3.11e-10,7.97e-13,6.61e-14,5.82e-14,1.03e-10,4.26e-13,8.64e-14,1.54e-13,4.28e-13,3.97e-14
00:16:52.64,3.1e-10,7.97e-13,6.85e-14,4.82e-14,1.03e-10,4.79e-13,7.25e-14,1.32e-13,4.63e-13,4.49e-14
00:17:00.14,3.1e-10,8e-13,6.6e-14,4.1e-14,1.03e-10,4.53e-13,9.08e-14,1.54e-13,4.04e-13,3.49e-14
00:17:07.64,3.11e-10,7.96e-13,5.8e-14,6.28e-14,1.03e-10,4.58e-13,1e-13,1.35e-13,4.12e-13,4.54e-14
00:17:15.14,3.11e-10,7.78e-13,5.08e-14,5.86e-14,1.03e-10,4.52e-13,7.77e-14,1.32e-13,4.41e-13,3.58e-14
00:17:22.65,3.1e-10,7.72e-13,5.09e-14,5.41e-14,1.03e-10,4.58e-13,9.5e-14,1.4e-13,4.21e-13,3.94e-14
00:17:30.14,3.11e-10,8.11e-13,6.42e-14,7.85e-14,1.03e-10,4.74e-13,7.2e-14,1.57e-13,4.12e-13,3.59e-14
00:17:37.64,3.1e-10,7.89e-13,5.44e-14,5.16e-14,1.03e-10,4.59e-13,7.66e-14,1.61e-13,3.99e-13,6.18e-14
00:17:45.14,3.09e-10,7.92e-13,6.6e-14,6.32e-14,1.03e-10,4.63e-13,6.06e-14,1.64e-13,3.97e-13,5.17e-14
00:17:52.64,3.1e-10,8.05e-13,5.74e-14,4.84e-14,1.03e-10,4.64e-13,8.85e-14,1.68e-13,4.26e-13,5.17e-14
00:18:00.14,3.11e-10,7.79e-13,4.61e-14,4.44e-14,1.03e-10,4.22e-13,8.33e-14,1.33e-13,4.26e-13,2.91e-14
00:18:07.64,3.09e-10,7.73e-13,4.2e-14,6e-14,1.03e-10,4.54e-13,6.66e-14,1.33e-13,4.12e-13,3.79e-14
00:18:15.14,3.11e-10,8.09e-13,6.65e-14,5.29e-14,1.03e-10,4.17e-13,6.66e-14,1.29e-13,4.06e-13,4.29e-14
00:18:22.64,3.1e-10,7.76e-13,5.14e-14,5.65e-14,1.03e-10,4.17e-13,7.69e-14,1.7e-13,3.84e-13,5.21e-14
00:18:30.15,3.08e-10,8.09e-13,6.33e-14,5.85e-14,1.03e-10,4.27e-13,8.34e-14,1.73e-13,3.79e-13,5.5e-14
00:18:37.67,3.1e-10,7.66e-13,5.13e-14,4.57e-14,1.03e-10,4.58e-13,1e-13,1.16e-13,4.01e-13,4.55e-14
00:18:45.17,3.1e-10,7.66e-13,5.12e-14,4.57e-14,1.03e-10,4.52e-13,9.9e-14,1.33e-13,3.83e-13,3.97e-14
00:18:52.67,3.08e-10,7.53e-13,5.12e-14,7.26e-14,1.03e-10,4.73e-13,8.76e-14,1.17e-13,3.87e-13,4.11e-14
00:19:00.17,3.09e-10,7.53e-13,5.71e-14,4.62e-14,1.03e-10,4.68e-13,1.05e-13,1.29e-13,3.53e-13,3.82e-14
00:19:07.67,3.09e-10,8.25e-13,5.47e-14,6.43e-14,1.03e-10,4.67e-13,6.77e-14,1.26e-13,3.95e-13,3.99e-14
00:19:15.17,3.1e-10,7.35e-13,6.3e-14,5.36e-14,1.03e-10,4.62e-13,6.34e-14,1.21e-13,3.93e-13,4.71e-14
00:19:22.67,3.08e-10,7.86e-13,6.35e-14,5.21e-14,1.03e-10,4.78e-13,7.03e-14,1.48e-13,3.6e-13,5.28e-14
00:19:30.17,3.09e-10,8.19e-13,6.39e-14,4.23e-14,1.03e-10,4.23e-13,8.97e-14,1.28e-13,3.38e-13,3.93e-14
00:19:37.67,3.1e-10,7.62e-13,5.31e-14,5.84e-14,1.03e-10,4.65e-13,1.07e-13,1.41e-13,3.83e-13,3.96e-14
00:19:45.17,3.09e-10,7.93e-13,6.97e-14,4.44e-14,1.03e-10,4.52e-13,8.11e-14,1.31e-13,3.79e-13,2.93e-14
00:19:52.67,3.09e-10,8.18e-13,4.64e-14,6.04e-14,1.03e-10,4.64e-13,6.5e-14,1.22e-13,3.68e-13,4.56e-14
00:20:00.17,3.1e-10,7.82e-13,4.52e-14,4.66e-14,1.03e-10,4.39e-13,1.04e-13,1.29e-13,3.34e-13,4.56e-14
00:20:07.67,3.1e-10,8.19e-13,4.99e-14,4.21e-14,1.03e-10,4.59e-13,8.95e-14,1.19e-13,3.34e-13,4.07e-14
00:20:15.17,3.09e-10,8.01e-13,5.78e-14,5.89e-14,1.03e-10,4.67e-13,8.29e-14,1.19e-13,3.47e-13,4.25e-14
00:20:22.67,3.09e-10,7.98e-13,5.03e-14,7.34e-14,1.03e-10,4.33e-13,8.29e-14,1.25e-13,3.61e-13,4.55e-14
00:20:30.17,3.09e-10,7.5e-13,6.29e-14,6.39e-14,1.03e-10,4.33e-13,7.69e-14,1.15e-13,3.28e-13,3.53e-14
00:20:37.67,3.08e-10,7.82e-13,5.72e-14,4.61e-14,1.03e-10,4.41e-13,8.36e-14,1.38e-13,3.12e-13,5.24e-14
