26,000:03:07.531,2023/12/19  12:52:31:531 ,280.8320923,0.8811293,1.00E-99,3.37E-10,9.08E-13,4.50E-14,6.19E-14,1.09E-10,4.46E-13,3.97E-13,6.17E-13,2.15E-12,9.63E-13,4.84E-14,1.89E-09,5.93E-12,6.73E-12,1.59E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
27,000:03:15.031,2023/12/19  12:52:39:31 ,413.5667114,0.868709,1.00E-99,3.37E-10,8.86E-13,5.44E-14,5.22E-14,1.09E-10,4.54E-13,3.19E-13,6.17E-13,2.20E-12,6.51E-13,3.36E-14,1.89E-09,3.97E-12,4.57E-12,1.16E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
28,000:03:22.531,2023/12/19  12:52:46:531 ,583.333313,0.8858024,1.00E-99,3.37E-10,8.70E-13,5.78E-14,5.31E-14,1.09E-10,4.71E-13,3.19E-13,6.15E-13,2.26E-12,4.72E-13,3.30E-14,1.89E-09,2.87E-12,3.24E-12,1.03E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
29,000:03:30.031,2023/12/19  12:52:54:31 ,770.4917603,0.9221312,1.00E-99,3.35E-10,8.31E-13,4.69E-14,4.04E-14,1.09E-10,4.71E-13,2.59E-13,5.93E-13,2.33E-12,3.40E-13,4.03E-14,1.88E-09,2.25E-12,2.44E-12,9.76E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
30,000:03:37.531,2023/12/19  12:53:1:531 ,959.1835938,1.010204,1.00E-99,3.36E-10,8.52E-13,6.43E-14,5.39E-14,1.09E-10,5.01E-13,2.29E-13,5.83E-13,2.32E-12,2.51E-13,4.56E-14,1.88E-09,1.98E-12,1.96E-12,1.12E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
31,000:03:45.046,2023/12/19  12:53:9:46 ,1153.374268,1.1226994,1.00E-99,3.36E-10,8.54E-13,6.66E-14,5.39E-14,1.08E-10,4.55E-13,2.36E-13,6.00E-13,2.34E-12,2.43E-13,3.53E-14,1.88E-09,1.83E-12,1.63E-12,1.12E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
32,000:03:52.546,2023/12/19  12:53:16:546 ,1355.07251,1.3115942,1.00E-99,3.33E-10,8.20E-13,6.66E-14,5.26E-14,1.08E-10,4.70E-13,2.18E-13,6.50E-13,2.38E-12,1.91E-13,4.85E-14,1.87E-09,1.81E-12,1.38E-12,1.09E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
33,000:04:00.046,2023/12/19  12:53:24:46 ,1496,1.3840001,1.00E-99,3.35E-10,8.20E-13,4.03E-14,4.85E-14,1.08E-10,4.35E-13,2.17E-13,6.13E-13,2.34E-12,1.73E-13,5.73E-14,1.87E-09,1.73E-12,1.25E-12,1.16E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
34,000:04:07.546,2023/12/19  12:53:31:546 ,1626.086914,1.4086957,1.00E-99,3.35E-10,8.25E-13,6.04E-14,4.98E-14,1.08E-10,4.56E-13,2.18E-13,6.23E-13,2.34E-12,1.56E-13,5.42E-14,1.87E-09,1.62E-12,1.15E-12,1.13E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
35,000:04:15.046,2023/12/19  12:53:39:46 ,1851.484985,1.4455445,1.00E-99,3.35E-10,8.19E-13,5.18E-14,6.09E-14,1.08E-10,4.83E-13,2.01E-13,6.09E-13,2.30E-12,1.44E-13,4.14E-14,1.87E-09,1.46E-12,1.01E-12,1.00E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
